Name,Reference
.size,[RFC8610]
.bits,[RFC8610]
.regexp,[RFC8610]
.cbor,[RFC8610]
.cborseq,[RFC8610]
.within,[RFC8610]
.and,[RFC8610]
.lt,[RFC8610]
.le,[RFC8610]
.gt,[RFC8610]
.ge,[RFC8610]
.eq,[RFC8610]
.ne,[RFC8610]
.default,[RFC8610]
.sdnv,[RFC9090]
.sdnvseq,[RFC9090]
.oid,[RFC9090]
.plus,[RFC9165]
.cat,[RFC9165]
.det,[RFC9165]
.abnf,[RFC9165]
.abnfb,[RFC9165]
.feature,[RFC9165]
.b64u,[RFC9741]
.b64u-sloppy,[RFC9741]
.b64c,[RFC9741]
.b64c-sloppy,[RFC9741]
.b45,[RFC9741]
.b32,[RFC9741]
.h32,[RFC9741]
.hex,[RFC9741]
.hexlc,[RFC9741]
.hexuc,[RFC9741]
.base10,[RFC9741]
.printf,[RFC9741]
.json,[RFC9741]
.join,[RFC9741]
